Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
267.8399963378906,268.80999755859375,267.3999938964844,268.7699890136719,244.0578155517578,86655700,0.0,2018-01-02,00,2018,2,Tuesday,0.43,0.3063026825434824
268.9599914550781,270.6400146484375,268.9599914550781,270.4700012207031,245.60145568847656,90070400,0.632,2018-01-03,00,2018,3,Wednesday,0.43,0.3063026825434824
271.20001220703125,272.1600036621094,270.5400085449219,271.6099853515625,246.6366729736328,80636400,0.422,2018-01-04,00,2018,4,Thursday,0.43,0.3063026825434824
272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,248.2802276611328,83524000,0.666,2018-01-05,00,2018,5,Friday,0.43,0.3063026825434824
273.30999755859375,274.1000061035156,272.9800109863281,273.9200134277344,248.73426818847656,57319200,0.183,2018-01-08,01,2018,8,Monday,0.3276,0.3637888123623375
274.3999938964844,275.25,274.0799865722656,274.5400085449219,249.29727172851562,57254000,0.226,2018-01-09,01,2018,9,Tuesday,0.3276,0.3637888123623375
273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,248.91586303710938,69574300,-0.153,2018-01-10,01,2018,10,Wednesday,0.3276,0.3637888123623375
274.75,276.1199951171875,274.55999755859375,276.1199951171875,250.73199462890625,62361500,0.73,2018-01-11,01,2018,11,Thursday,0.3276,0.3637888123623375
276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,252.3665313720703,90816100,0.652,2018-01-12,01,2018,12,Friday,0.3276,0.3637888123623375
279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,251.5037841796875,106555100,-0.342,2018-01-16,02,2018,16,Tuesday,0.22449999999999998,0.5940878161798416
278.0299987792969,280.04998779296875,276.9700012207031,279.6099853515625,253.9010772705078,113258800,0.953,2018-01-17,02,2018,17,Wednesday,0.22449999999999998,0.5940878161798416
279.4800109863281,279.9599914550781,278.5799865722656,279.1400146484375,253.47438049316406,100728000,-0.168,2018-01-18,02,2018,18,Thursday,0.22449999999999998,0.5940878161798416
279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,254.62754821777344,140920100,0.455,2018-01-19,02,2018,19,Friday,0.22449999999999998,0.5940878161798416
280.1700134277344,282.69000244140625,280.1099853515625,282.69000244140625,256.6979064941406,91322400,0.813,2018-01-22,03,2018,22,Monday,0.4372,0.523078101243017
282.739990234375,283.6199951171875,282.3699951171875,283.2900085449219,257.2427673339844,97084700,0.212,2018-01-23,03,2018,23,Tuesday,0.4372,0.523078101243017
284.0199890136719,284.70001220703125,281.8399963378906,283.17999267578125,257.1427917480469,134816100,-0.039,2018-01-24,03,2018,24,Wednesday,0.4372,0.523078101243017
284.1600036621094,284.2699890136719,282.3999938964844,283.29998779296875,257.2518310546875,84587300,0.042,2018-01-25,03,2018,25,Thursday,0.4372,0.523078101243017
284.25,286.6300048828125,283.9599914550781,286.5799865722656,260.23028564453125,107743100,1.158,2018-01-26,03,2018,26,Friday,0.4372,0.523078101243017
285.92999267578125,286.42999267578125,284.5,284.67999267578125,258.50494384765625,90118300,-0.663,2018-01-29,04,2018,29,Monday,-0.786,0.8885507863932146
282.6000061035156,284.739990234375,281.2200012207031,281.760009765625,255.8534698486328,131796400,-1.026,2018-01-30,04,2018,30,Tuesday,-0.786,0.8885507863932146
282.7300109863281,283.29998779296875,280.67999267578125,281.8999938964844,255.9805908203125,108364800,0.05,2018-01-31,04,2018,31,Wednesday,-0.786,0.8885507863932146
281.07000732421875,283.05999755859375,280.67999267578125,281.5799865722656,255.6899871826172,90102500,-0.114,2018-02-01,04,2018,1,Thursday,-0.786,0.8885507863932146
280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,250.12355041503906,173174800,-2.177,2018-02-02,04,2018,2,Friday,-0.786,0.8885507863932146
273.45001220703125,275.8500061035156,263.30999755859375,263.92999267578125,239.66278076171875,294681800,-4.182,2018-02-05,05,2018,5,Monday,-1.0006,2.871575839151737
259.94000244140625,269.70001220703125,258.70001220703125,269.1300048828125,244.38465881347656,355026800,1.97,2018-02-06,05,2018,6,Tuesday,-1.0006,2.871575839151737
