Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
111.7047501,113.0397568,109.2526932,110.5604553,108.8520432,8936687,-2.358,2/19/2018,7,2018,19,Monday,-0.3142,2.246717984
110.0700455,110.9146423,106.2557373,107.8904419,106.2232895,11610335,-2.415,2/20/2018,7,2018,20,Tuesday,-0.3142,2.246717984
108.5988159,109.2526932,106.4192123,107.5634995,105.9013977,7621480,-0.303,2/21/2018,7,2018,21,Wednesday,-0.3142,2.246717984
106.8006363,111.4050598,105.60186,110.7784195,109.0666428,16437924,2.989,2/22/2018,7,2018,22,Thursday,-0.3142,2.246717984
111.4323044,112.1134262,109.7975998,111.350563,109.6299362,9189024,0.516,2/23/2018,7,2018,23,Friday,-0.3142,2.246717984
111.7047501,113.2577209,110.8873978,112.0316925,110.3005447,5353014,0.612,2/26/2018,8,2018,26,Monday,-0.63375,1.505031201
112.2496567,114.3475189,109.6341248,112.8218002,111.0784454,10994042,0.705,2/27/2018,8,2018,27,Tuesday,-0.63375,1.505031201
111.6775055,113.3122101,110.3424988,110.9146423,109.2007523,7114891,-1.69,2/28/2018,8,2018,28,Wednesday,-0.63375,1.505031201
110.9146423,112.6310806,107.9994202,108.5170822,106.8402405,6606714,-2.162,3/1/2018,8,2018,1,Thursday,-0.63375,1.505031201
108.4353409,110.4514771,107.2093124,109.4706573,107.7790756,7142031,0.879,3/5/2018,9,2018,5,Monday,-4.69,3.945820447
110.3424988,110.8056641,98.13671112,101.4606094,99.89281464,14797586,-7.317,3/6/2018,9,2018,6,Tuesday,-4.69,3.945820447
99.66243744,101.0519333,92.19728851,93.8319931,92.38207245,39901321,-7.519,3/7/2018,9,2018,7,Wednesday,-4.69,3.945820447
94.81281281,96.66548157,87.18419647,92.06106567,90.63851166,35549750,-1.887,3/8/2018,9,2018,8,Thursday,-4.69,3.945820447
92.06106567,92.90566254,84.2689743,85.05908203,83.74472809,31361197,-7.606,3/9/2018,9,2018,9,Friday,-4.69,3.945820447
86.33959961,89.58176422,81.73518372,88.41022491,87.04408264,36867220,3.94,3/12/2018,10,2018,12,Monday,0.5994,3.232891941
88.30124664,89.63625336,85.54949188,87.04797363,85.70287323,27822361,-1.541,3/13/2018,10,2018,13,Tuesday,0.5994,3.232891941
85.44051361,90.01768494,85.30429077,89.22757721,87.84880829,24472244,2.504,3/14/2018,10,2018,14,Wednesday,0.5994,3.232891941
89.09134674,92.87841034,88.92787933,91.02574921,89.61917877,24216374,2.015,3/15/2018,10,2018,15,Thursday,0.5994,3.232891941
91.27095795,91.78861237,86.72103119,87.45664978,86.1052475,22765608,-3.921,3/16/2018,10,2018,16,Friday,0.5994,3.232891941
87.18419647,88.27400208,84.2689743,87.51113892,86.15887451,21394394,0.062,3/19/2018,11,2018,19,Monday,-1.0056,2.106185248
86.61205292,89.0368576,86.25786591,87.70185089,86.34664917,17242124,0.218,3/20/2018,11,2018,20,Tuesday,-1.0056,2.106185248
88.13777161,90.53533936,87.81083679,88.38298035,87.01725769,14220268,0.777,3/21/2018,11,2018,21,Wednesday,-1.0056,2.106185248
88.49195862,89.28206635,86.39408875,86.8844986,85.54192352,11326269,-1.695,3/22/2018,11,2018,22,Thursday,-1.0056,2.106185248
84.45968628,85.11357117,81.02680969,83.07019043,81.78656006,18236099,-4.39,3/23/2018,11,2018,23,Friday,-1.0056,2.106185248
83.097435,90.58982849,82.14385986,89.22757721,87.84880829,22902521,7.412,3/26/2018,12,2018,26,Monday,0.957333333,5.590492137
90.39911652,91.37993622,86.42133331,87.12970734,85.78335571,22051871,-2.351,3/27/2018,12,2018,27,Tuesday,0.957333333,5.590492137
86.58480835,88.21950531,84.29621887,85.22254944,83.90565491,21470217,-2.189,3/28/2018,12,2018,28,Wednesday,0.957333333,5.590492137
85.71295929,88.51920319,82.3890686,87.67460632,86.31981659,18337901,2.877,4/2/2018,13,2018,2,Monday,2.6604,7.816789418
86.23062134,88.98236847,85.30429077,88.49195862,87.12454987,21100128,0.932,4/3/2018,13,2018,3,Tuesday,2.6604,7.816789418
88.51920319,90.67156219,80.15496826,82.52529144,81.25008392,61208164,-6.743,4/4/2018,13,2018,4,Wednesday,2.6604,7.816789418
85.33561707,98.13596344,81.00467682,94.86369324,93.39782715,42856294,14.951,4/5/2018,13,2018,5,Thursday,2.6604,7.816789418
95.12033844,99.22671509,94.76744843,96.0827713,94.5980835,16557821,1.285,4/6/2018,13,2018,6,Friday,2.6604,7.816789418
96.37150574,97.52642059,93.45212555,94.41455841,92.9556427,8024416,-1.736,4/9/2018,14,2018,9,Monday,-1.383,3.096958669
95.28074646,96.85272217,94.1258316,94.79953003,93.33465576,7711830,0.408,4/10/2018,14,2018,10,Tuesday,-1.383,3.096958669
94.99201965,95.44115448,91.49517822,92.74634552,91.31319427,7993153,-2.166,4/11/2018,14,2018,11,Wednesday,-1.383,3.096958669
92.77842712,93.86917877,86.39429474,87.324646,85.97528076,12107380,-5.846,4/12/2018,14,2018,12,Thursday,-1.383,3.096958669
90.08361816,91.75183105,88.28707886,89.44199371,88.05991364,18682047,2.425,4/13/2018,14,2018,13,Friday,-1.383,3.096958669
88.99285889,91.0460434,87.90210724,90.30818176,88.9127121,7913136,0.968,4/16/2018,15,2018,16,Monday,-0.2194,2.548829986
90.75731659,91.71974945,88.41539764,89.50615692,88.12307739,5496341,-0.888,4/17/2018,15,2018,17,Tuesday,-0.2194,2.548829986
90.46858978,90.46858978,87.06799316,87.74169922,86.38589478,5139668,-1.971,4/18/2018,15,2018,18,Wednesday,-0.2194,2.548829986
86.93967438,91.30269623,86.61885834,90.88564301,89.48124695,9986051,3.583,4/19/2018,15,2018,19,Thursday,-0.2194,2.548829986
90.46858978,90.46858978,87.26048279,88.35123444,86.98600006,6122099,-2.789,4/20/2018,15,2018,20,Friday,-0.2194,2.548829986
89.18534851,91.1102066,88.28707886,89.66656494,88.28099823,6960812,1.489,4/23/2018,16,2018,23,Monday,0.5962,1.396819852
90.17985535,90.66107178,87.80586243,88.47956085,87.11234283,5641426,-1.324,4/24/2018,16,2018,24,Tuesday,0.5962,1.396819852
88.54372406,89.50615692,87.67753601,88.25499725,86.89124298,4277522,-0.254,4/25/2018,16,2018,25,Wednesday,0.5962,1.396819852
88.54372406,90.94980621,87.26048279,90.17985535,88.78636932,4409996,2.181,4/26/2018,16,2018,26,Thursday,0.5962,1.396819852
90.43650818,95.34490967,89.98737335,90.98188782,89.57600403,11783652,0.889,4/27/2018,16,2018,27,Friday,0.5962,1.396819852
91.33477783,92.65010071,88.92869568,89.89112854,88.50210571,3973908,-1.199,4/30/2018,17,2018,30,Monday,-2.749,3.412303914
90.05153656,90.78939819,79.68935394,83.02577972,81.74282837,13025322,-7.637,5/2/2018,17,2018,2,Wednesday,-2.749,3.412303914
83.41075134,83.73156738,79.1118927,81.10092163,79.84772491,20057125,-2.318,5/3/2018,17,2018,3,Thursday,-2.749,3.412303914
81.29340363,84.98272705,80.6197052,81.22924042,79.97406006,20059687,0.158,5/4/2018,17,2018,4,Friday,-2.749,3.412303914
81.55005646,83.34659576,80.10640717,81.87086487,80.6057663,19006661,0.79,5/7/2018,18,2018,7,Monday,0.2058,2.069599043
82.28791809,85.65642548,80.71594238,84.3411026,83.03783417,7209269,3.017,5/8/2018,18,2018,8,Tuesday,0.2058,2.069599043
83.66740417,84.3411026,82.15959167,82.80121613,81.5217514,5556490,-1.826,5/9/2018,18,2018,9,Wednesday,0.2058,2.069599043
83.34659576,83.8598938,80.6517868,81.26132202,80.00565338,7504479,-1.86,5/10/2018,18,2018,10,Thursday,0.2058,2.069599043
81.83878326,83.02577972,79.17605591,81.99919128,80.73210907,9263105,0.908,5/11/2018,18,2018,11,Friday,0.2058,2.069599043
82.03127289,82.12751007,78.02113342,79.56102753,78.33162689,7854960,-2.973,5/14/2018,19,2018,14,Monday,-1.4692,1.842762247
