Year,Week_Number,mean_return,volatility,True Label
2020,30,0.7944,2.996900282,undefined
2020,31,1.9814,3.330082852,undefined
2020,32,0.35,1.574396392,undefined
2020,33,3.6708,6.11675557,undefined
2020,34,4.8064,11.61164014,undefined
2020,35,-0.1842,2.831890923,undefined
2020,36,0.7864,3.051803696,undefined
2020,37,-0.289,1.843600689,undefined
2020,38,-0.724,3.848026442,undefined
2020,39,2.422,2.65685014,undefined
2020,40,0.3666,3.697202294,undefined
2020,41,-0.382,1.042207993,undefined
2020,42,0.5672,2.367720148,undefined
2020,43,1.515,2.385879922,undefined
2020,44,0.7228,0.868358624,undefined
2020,45,0.887833333,0.585235821,undefined
2020,46,1.17575,3.576831687,undefined
2020,47,0.5466,2.842347234,undefined
2020,48,2.93125,4.450097405,undefined
2020,49,0.1808,1.500502149,undefined
2020,50,0.2418,1.147710199,undefined
2020,51,1.1025,5.196226997,undefined
2020,52,0.32825,2.223629822,undefined
2021,0,2.419,0,green
2021,1,1.0952,2.533402593,green
2021,2,0.3628,1.255615666,red
2021,3,0.03,3.515985921,red
2021,4,-0.966,1.061014295,green
2021,5,3.3032,2.489289196,green
2021,6,3.8938,3.580478557,green
2021,7,1.7398,3.443235281,green
2021,8,1.3152,2.542001711,green
2021,9,1.785,2.224349905,red
2021,10,-0.4365,0.341859133,red
2021,11,-0.0878,1.717517598,green
2021,12,2.2976,6.674508694,green
2021,13,3.904,3.729468729,green
2021,14,1.732,4.65283376,green
2021,15,-0.72325,6.574143411,green
2021,16,-0.02275,1.398546001,green
2021,17,0.0274,1.452919234,green
2021,18,2.3544,3.384490848,green
2021,19,-1.5235,2.491998596,red
2021,20,1.5418,2.979638602,green
2021,21,-0.1744,2.030553939,green
2021,22,5.5306,3.593609022,green
2021,23,-1.1738,2.350382565,red
2021,24,-1.2904,6.694964361,green
2021,25,0.4436,2.108431241,green
2021,26,-1.2874,1.944155807,red
2021,27,0.1372,1.283278107,red
2021,28,-0.5044,0.61308099,red
2021,29,0.13125,2.404506793,green
2021,30,0.2662,0.710910473,green
2021,31,1.6288,3.253606184,red
2021,32,-1.322,1.565626392,green
2021,33,-0.11175,1.488639731,green
2021,34,1.0602,2.210640337,green
2021,35,0.799,2.315817242,red
2021,36,-0.3255,1.076813354,red
2021,37,-0.8508,0.672785033,red
2021,38,-0.2248,2.587238238,red
2021,39,-0.0088,2.858835375,red
2021,40,1.229,2.958368047,green
2021,41,1.573,2.316497932,green
2021,42,-1.2722,1.998277433,green
2021,43,-1.4806,5.255460855,green
2021,44,1.13875,0.731304941,green
2021,45,2.7582,2.002063236,green
2021,46,-0.2265,2.035560774,green
2021,47,-0.1874,3.165256514,red
2021,48,0.467,1.548037144,green
2021,49,0.3982,2.383049244,green
2021,50,-1.1088,1.469894962,green
2021,51,0.6562,2.299453892,green
2021,52,0.1426,1.628916143,green
2022,1,-0.1206,0.46651613,red
2022,2,1.9584,2.284588431,green
2022,3,-0.4438,1.420836796,red
2022,4,-1.847,3.502588281,green
2022,5,0.7482,1.430540003,red
2022,6,0.0988,2.220246203,red
2022,7,-0.2634,3.731143699,red
2022,8,-1.2906,4.997749423,red
2022,9,-0.05,1.370108268,green
2022,10,1.477,3.315834963,green
2022,11,1.2375,2.661552116,green
2022,12,0.5232,1.430024895,green
2022,13,1.8322,1.428383597,green
2022,14,1.2426,2.591887305,green
2022,15,0.436,0.327114659,green
2022,16,0.694,2.805366197,green
2022,17,0.547,3.015583774,green
2022,18,-0.90275,1.860353439,red
2022,19,-1.7662,2.126054021,green
2022,20,1.602,3.217670974,red
2022,21,-1.2712,2.084379812,green
2022,22,1.0544,2.241659831,green
2022,23,0.1312,1.720519021,red
2022,24,-0.913,4.499018615,red
2022,25,0.6508,2.834897123,green
2022,26,0.6518,1.186589946,green
2022,27,0.542,0.839973511,green
2022,28,0.9788,1.60996854,green
2022,29,0.773,0.742477946,green
2022,30,0.5558,0.936715378,green
2022,31,0.9964,1.618217013,green
2022,32,1.51175,1.375828084,green
2022,33,2.2655,2.553035122,red
2022,34,0.0884,2.69083868,green
2022,35,1.688,1.546206756,green
2022,36,0.5692,1.32302653,green
2022,37,1.4366,2.400987464,green
2022,38,-0.1128,3.072484207,red
2022,39,-1.215,1.005840196,red
2022,40,-1.2135,5.077972988,red
2022,41,-0.4152,0.973780622,green
2022,42,0.6408,1.637845139,red
2022,43,0.08675,0.449441413,green
2022,44,2.9442,3.51889396,green
2022,45,1.1345,1.519816985,green
2022,46,0.0642,1.541637506,green
2022,47,-0.5876,1.587756688,red
2022,48,0.1108,0.548177161,green
2022,49,0.3834,1.370794405,green
2022,50,-0.0762,0.989442116,red
2022,51,-1.6894,4.21827569,red
2022,52,1.1614,0.653841189,green
